src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.1,192.168.29.189,50938,7,IP,0.0,1,43,0.0,43.0,0,43,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,3.0091640949249268,3,162,430.6843891251244,54.0,0,54,0.0,1.5045820474624634,0.00826108455657959,1.0,UNKNOWN
192.168.29.189,23.33.244.239,51472,443,IP,0.013009071350097656,8,9126,5612083.909390807,1140.75,0,1292,0.0,0.0018584387642996652,0.002633470588708418,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.010030984878540039,8,2407,1919651.9816509401,300.875,0,1292,0.0,0.0014329978397914342,0.002317622535376855,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.025634050369262695,8,911,284309.34226215386,113.875,0,346,0.0,0.0036620071956089567,0.008689070446788775,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.01454305648803711,8,5446,2995793.9058985543,680.75,0,1494,0.0,0.0020775794982910156,0.003809156246571737,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.2517740726470947,8,4861,154455.93579648813,607.625,0,1494,0.0,0.03596772466387067,0.07412608411616867,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0013468265533447266,8,4412,26206789.517436713,551.5,0,1494,0.0,0.00019240379333496094,0.00028626797624463726,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.21645689010620117,8,2485,91842.76827707443,310.625,0,1494,0.0,0.030922412872314453,0.07244700722105342,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,10621,0.0,1327.625,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,9721,0.0,1215.125,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0006151199340820312,8,6005,78098590.75968993,750.625,0,1494,0.0,8.787427629743303e-05,0.00014108025938836482,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0003390312194824219,8,584,13780441.834036568,73.0,0,73,0.0,4.8433031354631695e-05,8.059443325150536e-06,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.7212769985198975,8,643,7131.795427492889,80.375,0,166,0.0,0.10303957121712821,0.0856119365301128,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0007178783416748047,8,2109,23502589.53437396,263.625,0,1068,0.0,0.00010255404881068639,0.00015471985112007591,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,7971,0.0,996.375,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,8940,0.0,1117.5,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0006279945373535156,8,4630,58981404.76841306,578.75,0,1494,0.0,8.971350533621652e-05,0.00015396586482765512,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.009853839874267578,8,2012,1633474.8895233488,251.5,0,1494,0.0,0.0014076914106096541,0.0033199395938237728,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,2385,0.0,298.125,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,7883,0.0,985.375,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,4634,0.0,579.25,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0010781288146972656,8,2564,19025555.870853603,320.5,0,708,0.0,0.00015401840209960938,0.0003772664961428483,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0004420280456542969,8,597,10804744.284789644,74.625,0,79,0.0,6.314686366489955e-05,2.2323280496067636e-05,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.2820761203765869,8,673,19087.046407232447,84.125,0,167,0.0,0.040296588625226705,0.06711643667597213,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.03600907325744629,8,2812,624731.4347460489,351.5,0,1494,0.0,0.005144153322492327,0.010443982457012335,1.0,HTTPS
192.168.29.189,20.42.65.84,56368,443,IP,0.0,1,54,0.0,54.0,0,54,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.22316598892211914,8,1931,69222.01754224776,241.375,0,786,0.0,0.031880855560302734,0.06463400061413337,1.0,HTTPS
192.168.29.189,23.33.244.239,49187,443,IP,0.011163949966430664,8,6333,4538178.704879872,791.625,0,1292,0.0,0.0015948499952043807,0.0022069650614099483,1.0,HTTPS
